""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"symbol"
"MITD1"	1.78452823912538	7.9479603010519	8.45239295817942	3.12813887759216e-07	0.00306368401047648	6.87418404367778	"MITD1"
"HN1L"	1.98135147373476	5.32041229843396	8.39218833025658	3.43279498800459e-07	0.00306368401047648	6.79108769815994	"HN1L"
"TMEM185B"	2.23531174019086	6.98168811150505	7.90966321635076	7.34764715083884e-07	0.00306368401047648	6.1058911250996	"TMEM185B"
"COA3"	2.48370029621009	6.87755568291029	7.83516083280574	8.28533714361186e-07	0.00306368401047648	5.99700412092694	"COA3"
"ARPC5"	1.96031119273529	10.9500983169545	7.6422589516191	1.13450460818907e-06	0.00306368401047648	5.7111610670876	"ARPC5"
"CD180"	2.83239690409431	7.39720616581909	7.63853019977142	1.14147209326409e-06	0.00306368401047648	5.70557984731072	"CD180"
"MSL1"	1.99075127749322	6.99439277752452	7.63224113892635	1.15332554092354e-06	0.00306368401047648	5.696161513953	"MSL1"
"SLC46A2"	2.77506442303945	7.78476830785018	7.44893744931551	1.56209265728947e-06	0.00306368401047648	5.41897839858656	"SLC46A2"
"TOLLIP"	1.90407285610423	8.00904388263159	7.41197238080162	1.6615324892222e-06	0.00306368401047648	5.36245289727626	"TOLLIP"
"S100P"	4.06949433861435	12.1396876913592	7.39302610141491	1.71504887845702e-06	0.00306368401047648	5.33339887583604	"S100P"
"RCL1"	-2.21799944770933	8.67557402111389	-7.34238708201741	1.86713462302655e-06	0.00306368401047648	5.25547053357653	"RCL1"
"RABEP1"	1.46394527399222	9.202564113455	7.33686005005706	1.88456863062305e-06	0.00306368401047648	5.24694085140788	"RABEP1"
"FAM105B"	-2.3048115251391	9.92721911186682	-7.27484990816163	2.09227221600048e-06	0.00306368401047648	5.15091647874365	"FAM105B"
"CCR1"	2.7633007880163	11.9756134035963	7.25514552076231	2.1631821740302e-06	0.00306368401047648	5.1202781324154	"CCR1"
"KCNJ2"	3.43398419002712	6.2912623983986	7.16159931623965	2.53582969984124e-06	0.00313128237277118	4.97399500133216	"KCNJ2"
