Gene	Type
S100A4	up
IL7R	up
CREB3L1	up
ADGRA2	up
CD248	up
GZMM	up
CNN1	up
TNIP1	up
MLPH	up
MXRA8	up
ALOX12P2	up
THBS2	up
CLDN11	up
EGOT	up
KRT5	up
DRD2	up
AVP	up
FZD2	up
B4GALT2	up
SLC6A20	up
PIP5K1C	up
NHLH1	up
CLDN6	up
PIK3R2	up
PPP1R13L	up
CXCL11	up
APBA1	up
HCFC1	up
THEG	up
LTBP2	up
ZIC1	up
PCBP4	up
PACSIN3	up
RAI1	up
ZC3H7B	up
MICALL2	up
CYTH3	up
ACSF2	up
S100A9	up
ATP8B1	up
CACNG2	up
DNASE1L3	up
IGF2BP2	up
KSR1	up
AMPD1	up
ADAMTS7	up
POLD4	up
TNFSF14	up
RAB3A	up
LRRC3	up
PLXDC1	up
LYPD3	up
RPL3L	up
MED25	up
BNC2	up
NPR3	up
KLK13	up
RTP4	up
JAK3	up
COL9A2	up
ITIH2	up
CX3CL1	up
NPFFR1	up
TYMP	up
TSSK1B	up
VWA1	up
EML3	up
PLIN1	up
LAD1	up
ANGPTL4	up
FKBP10	up
BHMT	up
IRF4	up
CRNN	up
ADAM19	up
NEU3	up
STUM	up
FMO4	up
IGLC1	up
HPCA	up
PRR36	up
KAZN	up
GRM5	up
ATN1	up
FOXN3	up
PSG9	up
PDE6G	up
DAPP1	up
ALDH1A2	up
RBM12B-AS1	up
NTSR2	up
SKAP1	up
CACNB3	up
SLC38A3	up
DPEP3	up
MRC2	up
KCNJ9	up
SIX1	up
MLN	up
ART1	up
RAP2A	up
PROP1	up
KIF17	up
DLX6	up
TMPRSS4	up
PPP1R2C	up
FOXO4	up
PLA2G2D	up
FBXO40	up
FMO2	up
CCDC87	up
STARD5	up
PLEKHG6	up
IL3RA	up
U2AF2	up
KLK8	up
TPSB2	up
GAK	up
CHPF	up
SIGLEC8	up
CCL5	up
NFKBIA	up
TSPY1	up
STAP2	up
C5orf66	up
PDGFB	up
CD38	up
SDK2	up
NFATC4	up
ADAM11	up
CGA	up
GPRC5D	up
MAST4	up
CD2	up
EGR4	up
KHSRP	up
STAC	up
CCL21	up
NRP2	up
CYP4F2	up
SPI1	up
CYP2A6	up
SLIT3	up
KCNH1	up
PRSS53	up
CASQ2	up
PGD	down
PTPRN2	down
LPXN	down
ZDHHC13	down
SLC7A11	down
NBEA	down
MEIS2	down
BMP2	down
CARMIL1	down
ALDH1A1	down
CCNH	down
SNCA	down
PRUNE2	down
PNMA1	down
MRPL22	down
MRPS30	down
SNX10	down
PLAGL1	down
ISOC1	down
MPC1	down
MAP4K3	down
ST3GAL6	down
LMO2	down
YES1	down
ODC1	down
MEGF9	down
LXN	down
PITPNA	down
TMEM251	down
WDR37	down
SLC35E3	down
PIP4K2C	down
IL13RA2	down
MARK1	down
QPCT	down
ACOT9	down
SLC23A2	down
ENPP4	down
EPB41L3	down
REPIN1	down
CRY1	down
ZNF226	down
NRCAM	down
COPS8	down
FDX1	down
GALNT12	down
VTCN1	down
MAPK14	down
HSD17B12	down
C8orf33	down
CBR4	down
SOAT1	down
ARMCX2	down
ACYP1	down
FANCF	down
MTR	down
MOAP1	down
PGAP1	down
C3orf14	down
PMPCA	down
GCA	down
PLS1	down
FABP5	down
CTSL	down
EIF2B2	down
MOSPD1	down
ROBO1	down
PEX7	down
MTHFD2L	down
CLGN	down
MEIS1	down
CPE	down
ISL1	down
CTC-338M12.4	down
