ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0045744	negative regulation of G protein-coupled receptor signaling pathway	7/204	66/18986	0.106060606060606	9.87091503267974	7.52366218929389	6.79218917007885e-06	0.0215855771825106	0.0189108845840616	DRD2/GRM5/CCL5/SLIT3/SNCA/CRY1/ROBO1	7
BP	GO:0046942	carboxylic acid transport	14/204	357/18986	0.0392156862745098	3.64975009611688	5.267368710888	3.36072549701714e-05	0.0367042456765086	0.0321561822444984	DRD2/AVP/SLC6A20/APBA1/ATP8B1/SLC38A3/PLA2G2D/CYP4F2/SLC7A11/SNCA/MPC1/SLC23A2/REPIN1/FABP5	14
BP	GO:0015849	organic acid transport	14/204	358/18986	0.0391061452513966	3.63955526344616	5.2545874490053	3.46484383352818e-05	0.0367042456765086	0.0321561822444984	DRD2/AVP/SLC6A20/APBA1/ATP8B1/SLC38A3/PLA2G2D/CYP4F2/SLC7A11/SNCA/MPC1/SLC23A2/REPIN1/FABP5	14
BP	GO:0003206	cardiac chamber morphogenesis	8/204	129/18986	0.062015503875969	5.77169782641739	5.66736200945835	7.77151121350674e-05	0.0423627474923276	0.0371135328797346	FZD2/PPP1R13L/NRP2/SLIT3/BMP2/ROBO1/CPE/ISL1	8
BP	GO:0021983	pituitary gland development	5/204	42/18986	0.119047619047619	11.0795985060691	6.81524546591118	8.39574941163549e-05	0.0423627474923276	0.0371135328797346	DRD2/ALDH1A2/PROP1/BMP2/ISL1	5
BP	GO:0016338	calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules	4/204	23/18986	0.173913043478261	16.1858482523444	7.5944952990836	9.76374160083677e-05	0.0423627474923276	0.0371135328797346	CLDN11/CLDN6/CX3CL1/BMP2	4
BP	GO:0051924	regulation of calcium ion transport	11/204	258/18986	0.0426356589147287	3.96804225566195	5.00246085188443	0.000113871665968872	0.0423627474923276	0.0371135328797346	DRD2/CXCL11/PACSIN3/CX3CL1/HPCA/CACNB3/CCL5/PDGFB/STAC/CASQ2/SNCA	11
BP	GO:0048247	lymphocyte chemotaxis	5/204	47/18986	0.106382978723404	9.90091781393408	6.36729049754614	0.000144948560106507	0.0423627474923276	0.0371135328797346	CXCL11/TNFSF14/CX3CL1/CCL5/CCL21	5
BP	GO:0050807	regulation of synapse organization	12/204	312/18986	0.0384615384615385	3.57956259426848	4.78800016621592	0.000147684175889611	0.0423627474923276	0.0371135328797346	THBS2/DRD2/SIX1/RAP2A/KLK8/NFATC4/NRP2/SLC7A11/SNCA/MARK1/NRCAM/MAPK14	12
BP	GO:0044272	sulfur compound biosynthetic process	9/204	182/18986	0.0494505494505494	4.60229476405947	5.08908009273946	0.000159502744480229	0.0423627474923276	0.0371135328797346	BHMT/CHPF/SLC7A11/SNCA/ST3GAL6/HSD17B12/CBR4/MTR/MTHFD2L	9
BP	GO:0050803	regulation of synapse structure or activity	12/204	318/18986	0.0377358490566038	3.51202367739549	4.70801522713859	0.000176230738745117	0.0423627474923276	0.0371135328797346	THBS2/DRD2/SIX1/RAP2A/KLK8/NFATC4/NRP2/SLC7A11/SNCA/MARK1/NRCAM/MAPK14	12
BP	GO:0006935	chemotaxis	15/204	472/18986	0.0317796610169492	2.95768943170489	4.48863335442316	0.000186985958944689	0.0423627474923276	0.0371135328797346	S100A4/ADGRA2/PIP5K1C/CXCL11/S100A9/TNFSF14/CX3CL1/TYMP/CCL5/PDGFB/CCL21/NRP2/SLIT3/MAPK14/ROBO1	15
BP	GO:0042330	taxis	15/204	474/18986	0.0316455696202532	2.94520972946141	4.46970025360528	0.000195712580421284	0.0423627474923276	0.0371135328797346	S100A4/ADGRA2/PIP5K1C/CXCL11/S100A9/TNFSF14/CX3CL1/TYMP/CCL5/PDGFB/CCL21/NRP2/SLIT3/MAPK14/ROBO1	15
BP	GO:0010818	T cell chemotaxis	4/204	28/18986	0.142857142857143	13.2955182072829	6.78545633002794	0.000216468028880868	0.0423627474923276	0.0371135328797346	CXCL11/TNFSF14/CCL5/CCL21	4
BP	GO:0021536	diencephalon development	6/204	81/18986	0.0740740740740741	6.89397240377632	5.54002510846895	0.000237490825110946	0.0423627474923276	0.0371135328797346	DRD2/ALDH1A2/PROP1/NRP2/BMP2/ISL1	6
BP	GO:0009086	methionine biosynthetic process	3/204	12/18986	0.25	23.2671568627451	8.04128416873825	0.00025036093004492	0.0423627474923276	0.0371135328797346	BHMT/MTR/MTHFD2L	3
BP	GO:0070099	regulation of chemokine-mediated signaling pathway	3/204	12/18986	0.25	23.2671568627451	8.04128416873825	0.00025036093004492	0.0423627474923276	0.0371135328797346	CCL5/SLIT3/ROBO1	3
BP	GO:0042180	cellular ketone metabolic process	10/204	237/18986	0.0421940928270042	3.92694630594854	4.72551711347599	0.000253176708259025	0.0423627474923276	0.0371135328797346	AVP/BHMT/FMO4/FMO2/CYP4F2/SLC7A11/BMP2/SNCA/CBR4/FABP5	10
BP	GO:0010565	regulation of cellular ketone metabolic process	8/204	153/18986	0.0522875816993464	4.86633346148917	5.00420089984691	0.000253270044793652	0.0423627474923276	0.0371135328797346	AVP/BHMT/FMO4/FMO2/SLC7A11/BMP2/SNCA/FABP5	8
BP	GO:0051928	positive regulation of calcium ion transport	7/204	120/18986	0.0583333333333333	5.42900326797386	5.07231451951579	0.00031847730879018	0.049089876818792	0.0430070962159931	CXCL11/CX3CL1/CACNB3/CCL5/PDGFB/STAC/SNCA	7
BP	GO:1901385	regulation of voltage-gated calcium channel activity	4/204	31/18986	0.129032258064516	12.0088551549652	6.39308644092307	0.000324382445939154	0.049089876818792	0.0430070962159931	DRD2/HPCA/CACNB3/STAC	4
BP	GO:0008277	regulation of G protein-coupled receptor signaling pathway	8/204	160/18986	0.05	4.65343137254902	4.83650214034072	0.000342703561955877	0.0495050872679899	0.0433708574819758	DRD2/GRM5/PDE6G/CCL5/SLIT3/SNCA/CRY1/ROBO1	8
BP	GO:0010820	positive regulation of T cell chemotaxis	3/204	14/18986	0.214285714285714	19.9432773109244	7.38944877969326	0.00040771130637564	0.0549313741981004	0.0481247672332733	TNFSF14/CCL5/CCL21	3
BP	GO:0048799	animal organ maturation	4/204	33/18986	0.121212121212121	11.281045751634	6.16034091469515	0.000414837313012715	0.0549313741981004	0.0481247672332733	ADAMTS7/ALDH1A2/BMP2/SNX10	4
BP	GO:0000096	sulfur amino acid metabolic process	4/204	34/18986	0.117647058823529	10.9492502883506	6.05134282154382	0.000466222893608037	0.0572025231845954	0.0501144956520999	BHMT/SLC7A11/MTR/MTHFD2L	4
BP	GO:0015711	organic anion transport	14/204	462/18986	0.0303030303030303	2.8202614379085	4.12797289196283	0.000492566471435527	0.0572025231845954	0.0501144956520999	DRD2/AVP/SLC6A20/APBA1/ATP8B1/SLC38A3/PLA2G2D/CYP4F2/SLC7A11/SNCA/MPC1/SLC23A2/REPIN1/FABP5	14
BP	GO:0070098	chemokine-mediated signaling pathway	6/204	93/18986	0.0645161290322581	6.00442757748261	5.04190765379266	0.000501483719856598	0.0572025231845954	0.0501144956520999	CXCL11/CX3CL1/CCL5/CCL21/SLIT3/ROBO1	6
BP	GO:0010819	regulation of T cell chemotaxis	3/204	15/18986	0.2	18.6137254901961	7.11215490991462	0.000505614049380276	0.0572025231845954	0.0501144956520999	TNFSF14/CCL5/CCL21	3
BP	GO:0060914	heart formation	4/204	35/18986	0.114285714285714	10.6364145658263	5.94679404850307	0.000521986523710908	0.0572025231845954	0.0501144956520999	SIX1/BMP2/ROBO1/ISL1	4
BP	GO:0003205	cardiac chamber development	8/204	172/18986	0.0465116279069767	4.32877336981304	4.57043301670731	0.000554931834783248	0.058785779031372	0.0515015685263751	FZD2/PPP1R13L/NRP2/SLIT3/BMP2/ROBO1/CPE/ISL1	8
BP	GO:0006555	methionine metabolic process	3/204	16/18986	0.1875	17.4503676470588	6.8604309986452	0.000617381878386311	0.0594557457427786	0.052088518926054	BHMT/MTR/MTHFD2L	3
BP	GO:0021984	adenohypophysis development	3/204	16/18986	0.1875	17.4503676470588	6.8604309986452	0.000617381878386311	0.0594557457427786	0.052088518926054	DRD2/PROP1/BMP2	3
BP	GO:0042762	regulation of sulfur metabolic process	3/204	16/18986	0.1875	17.4503676470588	6.8604309986452	0.000617381878386311	0.0594557457427786	0.052088518926054	BHMT/SLC7A11/SNCA	3
BP	GO:0010092	specification of animal organ identity	4/204	37/18986	0.108108108108108	10.0614732379438	5.74984308251867	0.000647473459270821	0.0605197251047843	0.0530206594356446	SIX1/BMP2/ROBO1/ISL1	4
BP	GO:1903169	regulation of calcium ion transmembrane transport	8/204	179/18986	0.0446927374301676	4.15949172965276	4.42622454777865	0.000721193990836701	0.0638832201941782	0.0559673801509064	DRD2/CXCL11/CX3CL1/HPCA/CACNB3/STAC/CASQ2/SNCA	8
BP	GO:0035270	endocrine system development	7/204	138/18986	0.0507246376811594	4.72087240693379	4.5719466166161	0.000737746570883757	0.0638832201941782	0.0559673801509064	DRD2/ALDH1A2/SIX1/PROP1/CGA/BMP2/ISL1	7
