category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signal transduction	hsa04668	TNF signaling pathway	6/115	119/9434	0.0504201680672269	4.13620752648886	3.82451197724004	0.0032690742005197	0.305983452189967	0.287534359186378	CREB3L1/PIK3R2/CX3CL1/CCL5/NFKBIA/MAPK14	6
Environmental Information Processing	Signaling molecules and interaction	hsa04061	Viral protein interaction with cytokine and cytokine receptor	5/115	100/9434	0.05	4.10173913043478	3.46386176717668	0.0074111883581578	0.305983452189967	0.287534359186378	CXCL11/TNFSF14/CX3CL1/CCL5/CCL21	5
Cellular Processes	Cellular community - eukaryotes	hsa04550	Signaling pathways regulating pluripotency of stem cells	6/115	144/9434	0.0416666666666667	3.41811594202899	3.24817702991371	0.00822204401872629	0.305983452189967	0.287534359186378	FZD2/PIK3R2/JAK3/MAPK14/MEIS1/ISL1	6
Organismal Systems	Immune system	hsa04625	C-type lectin receptor signaling pathway	5/115	105/9434	0.0476190476190476	3.9064182194617	3.32678237413918	0.00906179408279046	0.305983452189967	0.287534359186378	PIK3R2/KSR1/NFKBIA/NFATC4/MAPK14	5
Organismal Systems	Immune system	hsa04062	Chemokine signaling pathway	7/115	193/9434	0.0362694300518135	2.97535480964181	3.08001949278444	0.009199780634273	0.305983452189967	0.287534359186378	PIK3R2/CXCL11/JAK3/CX3CL1/CCL5/NFKBIA/CCL21	7
Human Diseases	Cancer: specific types	hsa05215	Prostate cancer	5/115	106/9434	0.0471698113207547	3.8695652173913	3.30037998717386	0.00942002074784373	0.305983452189967	0.287534359186378	CREB3L1/PIK3R2/GRM5/NFKBIA/PDGFB	5
Environmental Information Processing	Signal transduction	hsa04072	Phospholipase D signaling pathway	6/115	149/9434	0.0402684563758389	3.30341406477969	3.1482076944737	0.0096453260341561	0.305983452189967	0.287534359186378	AVP/PIP5K1C/PIK3R2/CYTH3/GRM5/PDGFB	6
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	9/115	298/9434	0.0302013422818792	2.47756054858477	2.87915174508122	0.0104686441691441	0.305983452189967	0.287534359186378	IL7R/CXCL11/TNFSF14/CX3CL1/IL3RA/CCL5/CCL21/BMP2/IL13RA2	9
Organismal Systems	Immune system	hsa04620	Toll-like receptor signaling pathway	5/115	109/9434	0.0458715596330275	3.76306342241723	3.22306351468595	0.0105531337625278	0.305983452189967	0.287534359186378	PIK3R2/CXCL11/CCL5/NFKBIA/MAPK14	5
Metabolism	Metabolism of cofactors and vitamins	hsa00670	One carbon pool by folate	3/115	39/9434	0.0769230769230769	6.31036789297659	3.69145604977209	0.0117235039153244	0.305983452189967	0.287534359186378	BHMT/MTR/MTHFD2L	3
Human Diseases	Infectious disease: viral	hsa05161	Hepatitis B	6/115	163/9434	0.0368098159509202	3.01968524939984	2.88937151425095	0.0145555510042127	0.345363528372683	0.324540036744647	CREB3L1/PIK3R2/JAK3/NFKBIA/NFATC4/MAPK14	6
Environmental Information Processing	Signal transduction	hsa04630	JAK-STAT signaling pathway	6/115	168/9434	0.0357142857142857	2.92981366459627	2.8035806358752	0.0166684226154907	0.354793559381673	0.333401489558096	IL7R/PIK3R2/JAK3/IL3RA/PDGFB/IL13RA2	6
Metabolism	Metabolism of other amino acids	hsa00430	Taurine and hypotaurine metabolism	2/115	17/9434	0.117647058823529	9.65115089514066	3.96580397872578	0.0177786963926706	0.354793559381673	0.333401489558096	FMO4/FMO2	2
Organismal Systems	Digestive system	hsa04980	Cobalamin transport and metabolism	2/115	18/9434	0.111111111111111	9.11497584541063	3.8280662093819	0.0198435399251247	0.354793559381673	0.333401489558096	HCFC1/MTR	2
Human Diseases	Infectious disease: viral	hsa05163	Human cytomegalovirus infection	7/115	226/9434	0.0309734513274336	2.54090034628703	2.60456558964182	0.0203904344472226	0.354793559381673	0.333401489558096	CREB3L1/PIK3R2/CX3CL1/CCL5/NFKBIA/NFATC4/MAPK14	7
Human Diseases	Infectious disease: viral	hsa05168	Herpes simplex virus 1 infection	6/115	182/9434	0.032967032967033	2.70444338270425	2.57922745527745	0.0236923733760202	0.38648184069633	0.363179144513994	PIK3R2/HCFC1/TNFSF14/CCL5/NFKBIA/EIF2B2	6
Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	4/115	100/9434	0.04	3.28139130434783	2.54773976236747	0.0336308169249558	0.428632668184188	0.402788512550577	IL7R/IL3RA/CD38/CD2	4
Human Diseases	Infectious disease: bacterial	hsa05131	Shigellosis	7/115	253/9434	0.0276679841897233	2.26973706822478	2.27414549681093	0.0348256702308199	0.428632668184188	0.402788512550577	TNIP1/PIK3R2/CYTH3/FOXO4/CCL5/NFKBIA/MAPK14	7
Organismal Systems	Endocrine system	hsa04923	Regulation of lipolysis in adipocytes	3/115	59/9434	0.0508474576271186	4.17126013264554	2.71432231428847	0.0350264047002492	0.428632668184188	0.402788512550577	PIK3R2/PLIN1/CGA	3
Human Diseases	Infectious disease: parasitic	hsa05142	Chagas disease	4/115	103/9434	0.0388349514563107	3.1858168003377	2.47774985174468	0.0368947637925434	0.428632668184188	0.402788512550577	PIK3R2/CCL5/NFKBIA/MAPK14	4
Environmental Information Processing	Signal transduction	hsa04064	NF-kappa B signaling pathway	4/115	105/9434	0.0380952380952381	3.12513457556936	2.43249928772718	0.039168970283529	0.428632668184188	0.402788512550577	PPP1R13L/TNFSF14/NFKBIA/CCL21	4
Organismal Systems	Endocrine system	hsa04921	Oxytocin signaling pathway	5/115	155/9434	0.032258064516129	2.64628330995792	2.29566767265613	0.0408037880693462	0.428632668184188	0.402788512550577	CACNG2/CACNB3/KCNJ9/CD38/NFATC4	5
Organismal Systems	Immune system	hsa04659	Th17 cell differentiation	4/115	109/9434	0.036697247706422	3.01045073793379	2.34515442857228	0.0439536334677776	0.428632668184188	0.402788512550577	JAK3/IRF4/NFKBIA/MAPK14	4
Organismal Systems	Endocrine system	hsa04929	GnRH secretion	3/115	65/9434	0.0461538461538462	3.78622073578595	2.50388720216896	0.0446810481544933	0.428632668184188	0.402788512550577	PIK3R2/KCNJ9/CGA	3
Metabolism	Glycan biosynthesis and metabolism	hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	2/115	28/9434	0.0714285714285714	5.85962732919255	2.86067602187368	0.0453180952801595	0.428632668184188	0.402788512550577	B4GALT2/ST3GAL6	2
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecules	5/115	160/9434	0.03125	2.56358695652174	2.21583626540687	0.0457210121268703	0.428632668184188	0.402788512550577	CLDN11/CLDN6/CD2/NRCAM/VTCN1	5
