Node1	Node2	PPI
ACSF2	SLC7A11	ppi
ACSF2	PMPCA	ppi
ADGRA2	CD248	ppi
ADGRA2	PLXDC1	ppi
ALDH1A1	ALDH1A2	ppi
ALDH1A1	KRT5	ppi
ALDH1A1	ANGPTL4	ppi
ALDH1A1	AVP	ppi
ALDH1A1	CYP2A6	ppi
ALDH1A2	ISL1	ppi
ALDH1A2	MEIS2	ppi
ALDH1A2	CYP2A6	ppi
AMPD1	CASQ2	ppi
ANGPTL4	PLIN1	ppi
ANGPTL4	MED25	ppi
ANGPTL4	PDGFB	ppi
ANGPTL4	NRP2	ppi
APBA1	RAB3A	ppi
APBA1	KIF17	ppi
APBA1	CACNG2	ppi
ART1	PROP1	ppi
AVP	GRM5	ppi
AVP	MLN	ppi
AVP	CGA	ppi
B4GALT2	ST3GAL6	ppi
BHMT	MTHFD2L	ppi
BHMT	MTR	ppi
BMP2	ISL1	ppi
BMP2	FZD2	ppi
BMP2	DLX6	ppi
BNC2	IRF4	ppi
CACNB3	CACNG2	ppi
CBR4	FDX1	ppi
CCL21	CX3CL1	ppi
CCL21	CD38	ppi
CCL21	LMO2	ppi
CCL21	PIP4K2C	ppi
CCL21	IL7R	ppi
CCL21	TNFSF14	ppi
CCL21	CCL5	ppi
CCL21	CXCL11	ppi
CCL5	CX3CL1	ppi
CCL5	NFKBIA	ppi
CCL5	CD38	ppi
CCL5	GZMM	ppi
CCL5	IL7R	ppi
CCL5	CXCL11	ppi
CCL5	IL3RA	ppi
CCL5	DRD2	ppi
CCL5	CD2	ppi
CCL5	IRF4	ppi
CCNH	LMO2	ppi
CCNH	MED25	ppi
CCNH	COPS8	ppi
CD2	CD38	ppi
CD2	GZMM	ppi
CD2	IL7R	ppi
CD2	IL3RA	ppi
CD2	SKAP1	ppi
CD2	JAK3	ppi
CD2	IRF4	ppi
CD248	PLXDC1	ppi
CD38	CXCL11	ppi
CD38	SLC7A11	ppi
CD38	SPI1	ppi
CD38	JAK3	ppi
CD38	GPRC5D	ppi
CD38	IL7R	ppi
CD38	IL3RA	ppi
CD38	IRF4	ppi
CLDN11	CLDN6	ppi
CLGN	PGAP1	ppi
CNN1	FOXO4	ppi
COL9A2	PDGFB	ppi
COL9A2	THBS2	ppi
CPE	PTPRN2	ppi
CREB3L1	FKBP10	ppi
CRNN	KLK13	ppi
CRY1	NFKBIA	ppi
CTSL	TMPRSS4	ppi
CX3CL1	CXCL11	ppi
CXCL11	RTP4	ppi
CXCL11	IL13RA2	ppi
CYP2A6	CYP4F2	ppi
CYP2A6	FDX1	ppi
CYP2A6	DRD2	ppi
CYP2A6	TYMP	ppi
CYP4F2	PLA2G2D	ppi
DLX6	MEIS2	ppi
DRD2	GRM5	ppi
DRD2	SNCA	ppi
EIF2B2	TYMP	ppi
EPB41L3	PLS1	ppi
FABP5	PLIN1	ppi
FDX1	PMPCA	ppi
FKBP10	LTBP2	ppi
FKBP10	THBS2	ppi
FKBP10	NFATC4	ppi
FOXO4	MAPK14	ppi
FOXO4	PCBP4	ppi
FZD2	PDE6G	ppi
GAK	SNCA	ppi
GRM5	KCNJ9	ppi
HCFC1	U2AF2	ppi
HPCA	KCNJ9	ppi
HSD17B12	ISOC1	ppi
HSD17B12	MTHFD2L	ppi
IL13RA2	PDGFB	ppi
IL13RA2	JAK3	ppi
IL3RA	PIK3R2	ppi
IL3RA	IL7R	ppi
IL3RA	IRF4	ppi
IL3RA	PDGFB	ppi
IL3RA	JAK3	ppi
IL7R	PIK3R2	ppi
IL7R	SPI1	ppi
IL7R	IRF4	ppi
IL7R	PDGFB	ppi
IL7R	JAK3	ppi
IRF4	NFKBIA	ppi
IRF4	SPI1	ppi
IRF4	LMO2	ppi
IRF4	JAK3	ppi
ISL1	ZIC1	ppi
ISL1	MEIS1	ppi
ISL1	NHLH1	ppi
ISL1	SIX1	ppi
ISL1	MEIS2	ppi
ISL1	ROBO1	ppi
JAK3	PIK3R2	ppi
JAK3	MAPK14	ppi
KCNH1	KCNJ9	ppi
KCNJ9	NTSR2	ppi
KHSRP	MAPK14	ppi
KHSRP	U2AF2	ppi
KLK13	KLK8	ppi
KRT5	LYPD3	ppi
LMO2	SPI1	ppi
LMO2	MEIS1	ppi
LMO2	NHLH1	ppi
LTBP2	NFATC4	ppi
LTBP2	THBS2	ppi
MAPK14	NFKBIA	ppi
MAPK14	PDGFB	ppi
MAPK14	NFATC4	ppi
MED25	PLIN1	ppi
MEIS1	SPI1	ppi
MEIS1	MEIS2	ppi
MEIS2	ZIC1	ppi
MLN	NTSR2	ppi
MLPH	RAB3A	ppi
MOAP1	PNMA1	ppi
MRPL22	RPL3L	ppi
MRPL22	MRPS30	ppi
MTHFD2L	MTR	ppi
MTR	ODC1	ppi
NEU3	ST3GAL6	ppi
NFKBIA	TNIP1	ppi
NRCAM	NRP2	ppi
NRP2	SLIT3	ppi
PDGFB	PIK3R2	ppi
PDGFB	TYMP	ppi
PDGFB	THBS2	ppi
PGD	SLC7A11	ppi
PIK3R2	YES1	ppi
PIK3R2	PIP4K2C	ppi
PIK3R2	PIP5K1C	ppi
PIP4K2C	PIP5K1C	ppi
PRUNE2	YES1	ppi
QPCT	SOAT1	ppi
RAB3A	SNCA	ppi
ROBO1	SLIT3	ppi
S100A9	SPI1	ppi
S100A9	SNCA	ppi
SIX1	ZIC1	ppi
SLC23A2	TYMP	ppi
SNCA	ZIC1	ppi
THBS2	TYMP	ppi
TNFSF14	VTCN1	ppi
