Node	Type
IL7R	up
CREB3L1	up
ADGRA2	up
CD248	up
GZMM	up
CNN1	up
TNIP1	up
MLPH	up
THBS2	up
CLDN11	up
KRT5	up
DRD2	up
AVP	up
FZD2	up
B4GALT2	up
PIP5K1C	up
NHLH1	up
CLDN6	up
PIK3R2	up
CXCL11	up
APBA1	up
HCFC1	up
LTBP2	up
ZIC1	up
PCBP4	up
ACSF2	up
S100A9	up
CACNG2	up
AMPD1	up
TNFSF14	up
RAB3A	up
PLXDC1	up
LYPD3	up
RPL3L	up
MED25	up
BNC2	up
KLK13	up
RTP4	up
JAK3	up
COL9A2	up
CX3CL1	up
TYMP	up
PLIN1	up
ANGPTL4	up
FKBP10	up
BHMT	up
IRF4	up
CRNN	up
NEU3	up
HPCA	up
GRM5	up
PDE6G	up
ALDH1A2	up
NTSR2	up
SKAP1	up
CACNB3	up
KCNJ9	up
SIX1	up
MLN	up
ART1	up
PROP1	up
KIF17	up
DLX6	up
TMPRSS4	up
FOXO4	up
PLA2G2D	up
IL3RA	up
U2AF2	up
KLK8	up
GAK	up
CCL5	up
NFKBIA	up
PDGFB	up
CD38	up
NFATC4	up
CGA	up
GPRC5D	up
CD2	up
KHSRP	up
CCL21	up
NRP2	up
CYP4F2	up
SPI1	up
CYP2A6	up
SLIT3	up
KCNH1	up
CASQ2	up
PGD	down
PTPRN2	down
SLC7A11	down
MEIS2	down
BMP2	down
ALDH1A1	down
CCNH	down
SNCA	down
PRUNE2	down
PNMA1	down
MRPL22	down
MRPS30	down
ISOC1	down
ST3GAL6	down
LMO2	down
YES1	down
ODC1	down
PIP4K2C	down
IL13RA2	down
QPCT	down
SLC23A2	down
EPB41L3	down
CRY1	down
NRCAM	down
COPS8	down
FDX1	down
VTCN1	down
MAPK14	down
HSD17B12	down
CBR4	down
SOAT1	down
MTR	down
MOAP1	down
PGAP1	down
PMPCA	down
PLS1	down
FABP5	down
CTSL	down
EIF2B2	down
ROBO1	down
MTHFD2L	down
CLGN	down
MEIS1	down
CPE	down
ISL1	down
